306	439	134	505	522	510	661	240	435	326	348	347	389	441	297	250	95	463	161	200	390	320	346	635	231	549	162	345	570	0	242	586	491	223	685	60	403	498	571	124	452
340	529	178	262	510	402	418	103	185	83	220	505	379	313	147	137	287	213	172	323	245	376	143	392	96	496	352	281	327	242	0	522	470	246	410	222	526	300	297	243	178
282	250	522	473	126	200	396	416	653	569	777	398	174	869	454	679	633	644	679	470	352	360	775	472	659	81	540	257	406	586	522	0	103	357	356	621	313	722	516	501	566
187	248	427	398	117	138	362	365	592	518	682	393	79	774	406	584	520	582	584	375	291	265	680	438	564	102	500	214	344	491	470	103	0	262	327	526	315	663	487	406	507
84	276	159	326	300	287	439	143	501	317	414	252	167	507	203	316	252	529	316	234	177	124	412	410	297	326	312	132	287	223	246	357	262	0	399	258	275	564	426	137	308
385	570	463	147	439	203	43	328	341	362	453	591	312	538	286	497	729	332	539	573	221	462	429	146	456	289	697	273	97	685	410	356	327	399	0	561	619	412	189	533	256
348	489	144	414	564	552	570	301	331	235	244	397	431	337	355	146	145	360	86	250	444	370	242	544	140	591	212	387	479	60	222	621	526	258	561	0	452	395	516	184	361
237	54	438	570	211	441	659	422	784	597	697	113	333	790	482	600	347	813	553	263	423	171	696	639	580	394	254	352	516	403	526	313	315	275	619	452	0	848	643	347	590
655	847	434	266	871	586	421	453	96	198	199	793	738	131	332	275	543	83	338	579	435	695	162	335	275	672	608	632	330	498	300	722	663	564	412	395	848	0	239	502	186
418	643	507	85	564	363	195	281	178	249	320	619	436	383	240	396	616	157	459	652	251	491	275	72	343	449	681	331	134	571	297	516	487	426	189	516	643	239	0	541	142
228	383	96	508	444	431	573	207	438	329	351	299	311	444	264	253	134	467	253	84	311	212	350	638	234	470	182	267	421	124	243	501	406	137	533	184	347	502	541	0	454
379	591	388	110	548	430	265	163	109	129	221	567	405	306	122	264	496	106	307	533	238	438	197	239	223	516	562	320	174	452	178	566	507	308	256	361	590	186	142	454	0
